"sample","patient_id","sample_number","BMP5","SEMG1","SEMG2","B3GNT6","PCGEM1","GDEP","TNNT1","KRT13","PSCA","SCGB1A1","ORM1","ORM2","CD177","MYL1","NLRP2","XIRP2","ANKRD34B","FOLH1B","PCA3","PPAN-P2RY11","TGM4","GSTM1","VSTM2A","TDO2","ALOX15B","LTF","C1orf64","CRISP3","GSTT1","CEACAM20","TDRD1","ANPEP","NRAP","UGT1A3","MUC6","CYP4F8","CYP4F2","SPINK1","ABP1","RPS28","OLFM4","COL2A1","NEFH","MYH7","RLN1","NPY","SERPINB11","CST1","MYL2","PCSK1","UBE2NL","MYO3B","FER1L4","GABRD","SYNJ2BP","TMEM128","C11orf90","KIAA0748","BFAR","C15orf26","BRDT","GPRIN1","PTPRVP","KLF14","PARP15","LOC728190","ANKLE1","H6PD","HAPLN4","KLHDC4","ADAP1","DEC1","C20orf72","FAM66A","SLFN14","TMCC1","TTLL5","SLC12A2","ATP9B","KIAA2026","H2AFV","LIPJ","RNF138","ANKFY1","ZNF365","SETD1B","POU2AF1","C9orf167","PIGN","SLC16A4","HSPB8","ACOT13","FRMD6","CDK5RAP3","DBN1","SERPINA7","NAT6","HOXA3","EIF2AK1","SMC1B"
"TCGA-XJ-A83F-01","TCGA-XJ-A83F",1,-2.49275281311,6.5552060554,4.85706733515,5.00453607491,8.01120251268,1.58600099103,-5.000126508,0.0113860632072,6.99739516972,5.13289630121,-1.64940299649,-0.797378774873,2.43963124464,-0.408804642996,4.18134972298,-0.276010066329,7.23713035505,6.08277823644,12.4675492548,1.25384369879,2.3431495279,3.45905746391,-0.827429996098,5.06150434647,-1.24340426063,3.21019657433,4.84664932501,7.52736347249,-7.6585934842,-0.527773624659,7.66459627,-3.7269692938,0.335947694108,3.51977886071,-1.54021109637,3.83123285213,-1.98357071401,0.0914806086617,-1.28167847835,-2.0164365041,3.37735447522,10.013912103,6.32714985564,-2.00726962154,-0.679275083886,14.0148835661,1.10419033945,0.49575283652,-0.646336387046,-2.19962470542,-0.890307030823,-0.902800507218,-2.27982156847,-0.879802028872,1.6740332657,0.0668954506438,-1.15130476785,-2.03091157238,-0.327075357004,-1.61186253609,-0.874334654702,-1.92108637534,1.20460792041,-1.22942895045,-3.7742113929,0.271809504487,-1.06772851346,-0.227377424893,-1.16976808428,0.854206742099,-2.88373804916,-0.34510106906,-0.0705487319548,-1.29524532189,-0.868403472493,-0.407628622708,-0.195261732345,1.33943943036,-0.670467491221,-1.31808523605,-0.288302559501,0.267269598127,-0.754364213812,-0.806864845884,-0.631004362076,0.173305673039,-4.49988616465,-2.49455311744,0.132215747171,-1.8124360437,1.19538113929,0.137263402263,-0.450146234881,1.08885877487,0.136842387827,1.50850340226,0.750428294967,0.622687998439,0.478251416309,2.05668712446
"TCGA-G9-6348-01","TCGA-G9-6348",1,0.39554718689,-0.649693944596,-0.0320326648459,3.08403607491,2.40150251268,2.28160099103,-5.000126508,2.56518606321,4.24919516972,5.05479630121,0.904897003512,4.65892122513,6.94883124464,-0.00800464299649,0.935649722981,-0.549410066329,5.04463035505,9.00967823644,11.4669492548,2.66454369879,5.1749495279,3.56125746391,0.217870003902,5.63160434647,4.76739573937,7.70419657433,4.07384932501,3.87446347249,4.0184065158,0.661726375341,0.304896269996,1.5964307062,-0.486052305892,-1.22972113929,-2.81841109637,1.95213285213,-1.01227071401,-2.76231939134,1.51832152165,3.4792634959,6.75155447522,-2.055987897,10.0237498556,-1.29326962154,4.03832491611,5.96178356613,2.66429033945,5.00605283652,-0.245536387046,-0.251424705423,0.514692969177,-1.09580050722,-3.14142156847,-1.15620202887,0.672933265704,-0.0904045493562,-0.18000476785,-1.28251157238,-0.291775357004,1.27643746391,-0.160334654702,-1.44898637534,-1.06389207959,2.38027104955,-2.2276113929,-0.635590495513,-1.16012851346,-0.0798774248927,-0.715368084276,0.729606742099,-1.41503804916,-0.34510106906,-0.688048731955,-0.581245321888,-0.868403472493,-0.151028622708,-0.430061732345,1.28943943036,-0.134667491221,-0.214185236052,-0.145502559501,0.307069598127,-0.363364213812,-0.443364845884,1.94749563792,-0.752494326961,-1.35238616465,-2.50245311744,-0.175484252829,-0.495936043699,1.55078113929,0.314863402263,0.243553765119,-0.0685412251268,-0.151257612173,-0.147596597737,0.298528294967,-1.17601200156,0.637851416309,-0.549512875536
"TCGA-CH-5766-01","TCGA-CH-5766",1,-0.58145281311,0.969106055404,1.82926733515,9.74923607491,7.19700251268,4.41500099103,-5.000126508,4.87178606321,8.77429516972,4.91739630121,12.9965970035,9.49952122513,1.33543124464,-0.408804642996,-4.18685027702,-0.950210066329,8.91553035505,2.53907823644,10.6525492548,2.58254369879,8.4992495279,-4.25724253609,3.7230700039,6.04330434647,2.55259573937,7.18269657433,3.80714932501,6.68336347249,-7.6585934842,1.62662637534,7.34389627,2.1024307062,-1.45735230589,4.04267886071,9.69838890363,2.92993285213,0.054429285993,-3.95181939134,5.76252152165,-3.9289365041,6.39695447522,11.820312103,10.1856498556,-2.00726962154,5.52092491611,9.64028356613,3.80069033945,4.63955283652,-0.646336387046,-0.316024705423,0.521992969177,-1.50050050722,-1.59272156847,-3.62490202887,1.5129332657,-0.0600045493562,0.10009523215,-0.156911572376,-0.479175357004,1.09363746391,-0.874334654702,-0.969486375341,0.154107920406,-1.22942895045,0.00938860710106,-1.46929049551,-1.62222851346,-0.140077424893,-1.62856808428,-0.601393257901,-0.356838049161,-0.34510106906,-0.655548731955,1.16085467811,-0.111003472493,0.467771377292,-0.261161732345,2.27743943036,0.749832508779,0.479614763948,-0.294002559501,0.0208695981272,0.766935786188,0.504235154116,0.379495637924,0.888305673039,0.337913835349,-2.54965311744,1.81711574717,-1.3545360437,0.16208113929,-0.046536597737,-0.025046234881,0.0735587748732,-0.716357612173,-0.861596597737,-0.124371705033,0.390687998439,0.486851416309,-0.143812875536
"TCGA-EJ-A65G-01","TCGA-EJ-A65G",1,3.08924718689,-0.649693944596,-0.432832664846,-1.88956392509,11.7752025127,11.180800991,3.385873492,-1.18971393679,4.10729516972,1.03559630121,0.231497003512,0.487421225127,3.93383124464,7.394395357,3.54784972298,5.85188993367,0.665030355053,5.25597823644,12.7120492548,1.43574369879,0.989549527897,3.57595746391,8.3292700039,-5.05809565353,8.32509573937,0.034096574327,6.94104932501,-0.717336527507,4.1495065158,3.71632637534,2.13069627,5.3500307062,6.12374769411,4.19397886071,5.09448890363,1.57903285213,6.65172928599,1.06018060866,0.520021521654,-2.5149365041,-1.41174552478,0.557912103004,5.12534985564,8.23903037846,11.5179249161,10.5342835661,-1.08930966055,5.23435283652,8.47036361295,-4.39312470542,1.87479296918,-2.16310050722,-0.769821568474,-3.96180202887,0.838533265704,0.171695450644,-1.15130476785,-1.76611157238,-0.697275357004,-0.952862536091,-0.874334654702,-2.71468637534,-0.354892079594,-1.22942895045,-2.3216113929,-0.228190495513,-0.797728513461,-0.389477424893,0.299831915724,0.493306742099,-2.85673804916,-0.34510106906,-0.953648731955,0.666454678112,-0.868403472493,0.102771377292,-0.699461732345,0.714339430355,0.289332508779,-0.360085236052,-0.216102559501,1.04566959813,-0.188064213812,-0.324264845884,-1.15940436208,-0.0356943269606,-1.73448616465,-3.40305311744,1.04931574717,-1.9351360437,1.04098113929,0.023763402263,0.117053765119,1.57175877487,-1.24225761217,-0.202596597737,0.936428294967,0.745687998439,-0.054348583691,-0.169012875536
"TCGA-G9-6354-01","TCGA-G9-6354",1,1.20164718689,-0.649693944596,4.93826733515,4.83373607491,8.59560251268,7.79880099103,-5.000126508,1.86058606321,4.79399516972,4.17179630121,2.83609700351,5.63712122513,9.21753124464,-0.408804642996,-3.66385027702,-0.950210066329,7.10353035505,6.79617823644,12.9660492548,1.14274369879,3.4752495279,2.61325746391,5.8117700039,1.42040434647,6.10589573937,3.36879657433,3.77914932501,10.9606634725,-6.2221934842,6.10752637534,6.72079627,3.2274307062,0.254247694108,0.42567886071,-1.39061109637,2.70053285213,3.67432928599,-1.33841939134,4.91882152165,3.2436634959,2.41875447522,10.686712103,8.85784985564,-2.00726962154,10.0474249161,15.0996835661,5.69489033945,-0.18344716348,-0.646336387046,1.55787529458,0.946192969177,-3.27290050722,-1.45042156847,-2.21220202887,1.2626332657,0.328195450644,-0.50160476785,-2.96461157238,-0.268175357004,2.36903746391,-0.224634654702,-2.26578637534,-1.46469207959,-0.133328950449,-1.8316113929,0.350809504487,-2.04202851346,-0.638577424893,-1.22316808428,0.0788067420991,-2.53113804916,-0.34510106906,-0.624748731955,0.141154678112,-0.218703472493,-0.149928622708,-0.492761732345,1.97453943036,0.169932508779,-0.684985236052,-0.259902559501,0.689169598127,-0.275064213812,-0.767664845884,-1.44890436208,-0.208194326961,-1.80348616465,-3.68185311744,0.559715747171,-2.1657360437,0.95188113929,0.398163402263,-0.548046234881,0.779458774873,-0.111357612173,-0.861596597737,0.998828294967,1.16258799844,0.687351416309,-1.41011287554
"TCGA-EJ-5527-01","TCGA-EJ-5527",1,-1.43335281311,0.409706055404,0.802967335154,5.99453607491,7.19870251268,6.67520099103,-4.141626508,3.18798606321,3.99569516972,5.69089630121,2.47769700351,4.42422122513,7.39623124464,-0.408804642996,-2.65845027702,-0.325410066329,8.37683035505,3.15807823644,11.4871492548,1.85004369879,9.9006495279,-4.42424253609,-0.295529996098,2.13970434647,3.97189573937,7.57239657433,2.24794932501,9.97306347249,1.6182065158,2.57462637534,7.25769627,2.5964307062,-0.397952305892,1.62007886071,-2.29661109637,10.1410328521,2.07982928599,-3.95181939134,2.87922152165,-3.8299365041,5.69675447522,5.386912103,7.98384985564,-2.00726962154,5.03302491611,9.78858356613,8.61149033945,1.39205283652,-0.646336387046,-0.895024705423,0.0660929691767,-0.717500507218,-3.49442156847,-2.81030202887,1.6996332657,0.0279954506438,1.10999523215,0.518788427624,-0.0611753570035,-1.61186253609,-0.874334654702,-1.96868637534,-0.839892079594,-0.170028950449,-0.583511392899,-0.512690495513,-2.45002851346,0.611022575107,-2.30406808428,-1.1685932579,-2.26613804916,-0.34510106906,-0.365748731955,-0.235845321888,-0.868403472493,0.815471377292,-0.00596173234491,2.61323943036,0.440332508779,0.637414763948,0.165397440499,-0.0609304018728,0.614435786188,0.628035154116,1.22099563792,0.0962056730394,-0.489786164651,-2.57275311744,2.18511574717,-0.176336043699,0.88408113929,0.00976340226298,1.24765376512,-0.501741225127,-0.579257612173,0.531303402263,-0.309271705033,0.417187998439,0.441551416309,-1.11331287554
"TCGA-HC-8213-01","TCGA-HC-8213",1,-2.49275281311,0.664106055404,2.80286733515,1.34613607491,8.05320251268,3.16630099103,-5.000126508,-2.19061393679,2.79789516972,-0.83750369879,1.92479700351,2.51812122513,2.80183124464,0.171595357004,5.21794972298,0.363589933671,4.26643035505,9.37027823644,13.0072492548,2.66764369879,4.6389495279,4.20745746391,2.0234700039,0.232404346469,3.11529573937,3.85669657433,4.61784932501,12.0632634725,4.3393065158,2.63002637534,7.73879627,1.0574307062,0.701947694108,-1.22972113929,-1.54261109637,3.39053285213,-0.669770714007,-1.37821939134,-3.49677847835,3.2525634959,3.59965447522,4.062412103,5.93194985564,-1.42686962154,3.80322491611,13.0325835661,-0.096109660554,1.67595283652,-0.646336387046,-2.23382470542,0.137192969177,-1.95910050722,-4.76252156847,-2.38270202887,1.7064332657,0.279195450644,0.16249523215,-3.08721157238,-0.390575357004,-1.61186253609,-0.874334654702,-3.63458637534,1.43040792041,-0.236228950449,-3.7742113929,-0.641590495513,-1.99482851346,-0.710677424893,-2.95946808428,0.187606742099,-2.95423804916,-0.34510106906,0.105251268045,-0.714845321888,-0.868403472493,-0.106428622708,-0.763661732345,2.51023943036,0.679332508779,-0.649385236052,-0.238402559501,1.39066959813,0.138535786188,-0.285464845884,-1.57690436208,-0.658094326961,-3.66758616465,-4.96805311744,1.35331574717,-2.3590360437,-0.79881886071,0.229763402263,-0.532146234881,0.566758774873,-1.06425761217,-0.281196597737,0.271128294967,0.689887998439,0.318551416309,-1.51301287554
"TCGA-Y6-A9XI-01","TCGA-Y6-A9XI",1,3.65894718689,-0.0741939445962,-0.432832664846,7.38343607491,5.46780251268,7.08500099103,-5.000126508,3.41318606321,4.36789516972,5.39009630121,-0.153102996488,2.78362122513,5.17303124464,-0.408804642996,-3.82705027702,-0.950210066329,8.70023035505,7.43477823644,12.0662492548,2.45104369879,3.5074495279,-5.28274253609,1.3348700039,-3.07949565353,4.98649573937,4.08179657433,5.69304932501,0.712263472493,2.9972065158,0.458026375341,4.84219627,-1.7517692938,-0.881852305892,0.13127886071,-1.96641109637,9.64603285213,-0.00497071400703,-2.96601939134,-1.92747847835,3.3125634959,5.62375447522,2.827312103,7.97324985564,-2.00726962154,9.67832491611,13.3010835661,5.56189033945,2.82555283652,-0.646336387046,-2.60612470542,-0.0435070308233,-0.711700507218,-1.02832156847,-0.672602028872,0.636033265704,0.556695450644,-1.15130476785,-0.903511572376,-0.778775357004,0.366737463909,-0.874334654702,-3.04648637534,0.101307920406,-1.22942895045,-1.9872113929,0.129009504487,-0.203728513461,-0.286777424893,-1.86576808428,-0.199293257901,-3.35393804916,-0.34510106906,0.370351268045,-1.29524532189,0.117396527507,0.166871377292,-0.571161732345,1.77573943036,-0.0513674912212,0.373814763948,-0.0921025595006,0.578869598127,0.264935786188,-0.591064845884,-1.53630436208,0.600605673039,-1.27808616465,-2.77065311744,0.123615747171,-2.3019360437,-0.87841886071,-0.170636597737,-1.20144623488,0.995458774873,-1.61005761217,-0.861596597737,0.517428294967,0.843487998439,0.529051416309,0.0549871244635
"TCGA-EJ-7125-11","TCGA-EJ-7125",1,6.70284718689,4.7991060554,3.97556733515,-1.88956392509,9.30860251268,9.70670099103,-5.000126508,5.73108606321,3.16749516972,7.09069630121,11.3423970035,10.8296212251,8.42233124464,1.096895357,-1.79805027702,-0.950210066329,-1.37666964495,8.23207823644,5.34484925478,-3.36115630121,8.7565495279,5.08955746391,5.6526700039,-3.21999565353,5.47949573937,6.33829657433,2.45794932501,0.0563634724932,4.1083065158,5.45362637534,-0.970603730004,3.8965307062,0.380747694108,1.84427886071,-0.0817110963714,4.65863285213,4.22292928599,0.241280608662,4.59352152165,3.6191634959,6.04615447522,0.517412103004,9.87964985564,-1.55526962154,9.64482491611,11.3153835661,10.0426903394,-0.0246471634803,-0.194336387046,-3.59752470542,0.682492969177,-0.652100507218,-3.31872156847,-2.00840202887,0.906533265704,1.15589545064,0.35439523215,-0.207911572376,0.274524642996,-1.15986253609,-0.874334654702,-3.87838637534,-1.01269207959,0.451971049551,-1.1534113929,0.260609504487,-1.20082851346,-1.38647742489,0.216031915724,-0.306893257901,-1.48753804916,-0.34510106906,-0.532848731955,1.40935467811,-0.0728034724932,-0.650428622708,-0.0592617323449,0.754439430355,0.0273325087788,-0.839785236052,0.230497440499,0.388669598127,0.222135786188,-0.729264845884,0.948895637924,-1.30379432696,-1.72848616465,-2.89505311744,1.21321574717,0.249963956301,2.98258113929,1.08896340226,2.23505376512,-0.266641225127,-0.781457612173,-0.861596597737,0.424928294967,0.166587998439,-0.056548583691,-2.05421287554
"TCGA-CH-5744-01","TCGA-CH-5744",1,-2.49275281311,2.3799060554,4.65696733515,9.34933607491,8.86720251268,4.92640099103,-4.700026508,5.40928606321,5.46199516972,6.20459630121,0.874197003512,4.18952122513,9.26633124464,-0.108704642996,-0.658250277019,-0.650110066329,7.05433035505,8.60737823644,13.0592492548,2.96984369879,8.7127495279,2.94995746391,-1.4110299961,-1.16379565353,2.42279573937,4.33879657433,2.49874932501,7.19396347249,4.0410065158,5.65992637534,7.93669627,1.2354307062,-0.507552305892,1.31807886071,-0.873211096371,9.84573285213,-0.067470714007,-3.95181939134,2.01922152165,1.5548634959,6.65565447522,10.107112103,7.57364985564,-1.70716962154,2.62782491611,14.5434835661,5.78159033945,-0.87924716348,-0.0981363870464,-2.66562470542,0.279392969177,-1.54540050722,-2.18712156847,-0.521802028872,1.8035332657,-0.131904549356,0.10389523215,-0.698311572376,-0.639775357004,0.115637463909,-0.874334654702,-0.903686375341,-0.520092079594,-0.469428950449,-1.6148113929,-0.925190495513,-1.34942851346,0.290822575107,-1.45706808428,-0.436093257901,-1.92473804916,-0.34510106906,-1.57004873195,-0.747045321888,-0.868403472493,-0.198828622708,-0.525761732345,2.31153943036,0.184732508779,-0.254285236052,-0.00370255950064,-0.406930401873,0.241435786188,0.00283515411624,-0.645504362076,0.621205673039,-1.53208616465,-2.01895311744,1.26251574717,-2.1885360437,0.37138113929,0.103663402263,-0.382746234881,0.272158774873,0.786342387827,0.083003402263,0.670828294967,0.349187998439,0.631351416309,0.439387124464
